agency,country,iso2c,year,ratings
S&P,Philippines,PH,2006,BB-
S&P,Philippines,PH,2007,BB-
S&P,Philippines,PH,2008,BB-
S&P,Philippines,PH,2009,BB-
S&P,Philippines,PH,2010,BB
S&P,Philippines,PH,2011,BB
S&P,Philippines,PH,2012,BB+
S&P,Pakistan,PK,2006,B+
S&P,Pakistan,PK,2007,B+
S&P,Poland,PL,2006,BBB+
S&P,Poland,PL,2007,A-
S&P,Poland,PL,2008,A-
S&P,Poland,PL,2009,A-
S&P,Poland,PL,2010,A-
S&P,Poland,PL,2011,A-
S&P,Poland,PL,2012,A-
S&P,Portugal,PT,2006,AA-
S&P,Portugal,PT,2007,AA-
S&P,Portugal,PT,2008,AA-
S&P,Portugal,PT,2009,A+
S&P,Portugal,PT,2010,A-
S&P,Portugal,PT,2011,BBB-
S&P,Portugal,PT,2012,BB
S&P,Qatar,QA,2006,A+
S&P,Qatar,QA,2007,AA-
S&P,Qatar,QA,2008,AA-
S&P,Qatar,QA,2009,AA-
S&P,Qatar,QA,2010,AA
S&P,Qatar,QA,2011,AA
S&P,Qatar,QA,2012,AA
S&P,Romania,RO,2006,BBB-
S&P,Romania,RO,2007,BBB-
S&P,Romania,RO,2008,BB+
S&P,Romania,RO,2009,BB+
S&P,Romania,RO,2010,BB+
S&P,Romania,RO,2011,BB+
S&P,Romania,RO,2012,BB+
S&P,Serbia,RS,2006,BB-
S&P,Serbia,RS,2007,BB-
S&P,Serbia,RS,2008,BB-
S&P,Serbia,RS,2009,BB-
S&P,Serbia,RS,2010,BB-
S&P,Russian Federation,RU,2006,BBB+
S&P,Russian Federation,RU,2007,BBB+
S&P,Russian Federation,RU,2008,BBB
S&P,Russian Federation,RU,2009,BBB
S&P,Russian Federation,RU,2010,BBB
S&P,Russian Federation,RU,2011,BBB
S&P,Russian Federation,RU,2012,BBB
S&P,Saudi Arabia,SA,2009,AA-
S&P,Saudi Arabia,SA,2010,AA-
S&P,Sweden,SE,2006,AAA
S&P,Sweden,SE,2007,AAA
S&P,Sweden,SE,2008,AAA
S&P,Sweden,SE,2009,AAA
S&P,Sweden,SE,2010,AAA
S&P,Sweden,SE,2011,AAA
S&P,Sweden,SE,2012,AAA
S&P,Slovenia,SI,2006,AA
S&P,Slovenia,SI,2007,AA
S&P,Slovenia,SI,2008,AA
S&P,Slovenia,SI,2009,AA
S&P,Slovenia,SI,2010,AA
S&P,Slovenia,SI,2011,AA-
S&P,Slovenia,SI,2012,A
S&P,Slovak Republic,SK,2006,A
